,record_id,reviewed_author_name
133,137195890,Kate Gannett Wells
134,90944121,Josiah Warren
135,90048854,Alexander Winchell
136,125734890,L. Joubin
137,137744808,James W. Redfield
138,136617842,John Sutherland Black and George Chrystal
139,90621097,Gene Stratton Porter
140,125236598,Henry A. Christian
141,125236598, James Mackenzie
142,124707428,nan
143,91093327,John M. Armour
144,136106028,Evelyn Everett Green
145,136619825,Samuel Plantz
146,90132097,nan
147,90569421,Wendell Phillips Garrison
148,137449682,Thomas L. Greene
149,90553805,George Francis Train
150,136492393,A. Milnes Marshall
151,124463109,A. B. Ward
152,126443468,Eduard (Wilhelm Eugen) Reuss
153,136113370,John A. Broadus
154,136113370, Edwin Charles Dargan
155,126389415,Louis J. Jennings
156,127467154,John Watson
157,90126417,Dorman B. Eaton 
158,124359262,Ludwig Pastor
159,136142931,nan
160,90313218,John Austin Stevens
161,124896942,M. H. Spielmann
162,90739286,Florence L. Barclay
163,89667045,Barnett A. Elzas
164,89644579,Georgiana Hill
165,124764143,H. G. Wells
166,90635208,Richard Mott Gummere
167,124764069,Gaston Vuillier
168,136621698,Stanley Washburn
169,124345912,George Anson Jackson
170,90440078,Alessandro Ceccheregli
171,136532533,Herman Mynter
172,125727674,Alfred Kirchoff
173,125727674, Willi Ule
174,124892989,Beatrice Harraden
175,90078026,Edna Lyall
176,90500700,Charles G. D. Roberts
177,89680665,Rudeaux
178,136750674,Edward H. Hall
179,137173034,nan
180,90121448,George Moore
181,125248292,Theodore G. Wormley
182,89686172,Hamlin Garland
183,89689843,Henry Arthur Jones
184,90838561,Paul Dubois
185,90173545,William Hamilton Gibson
186,125503432,Sophia V. Bompiani
187,124980283,C. J. Cornish
188,89671107,Harold Murdock
189,90499007,Sidney Colvin
190,90135027,A. H. Bullen
191,136477222,Prosser James
192,136477222, Jonathan Wright
193,136477222, E. J. Moore
194,136477222, A. H. Buck
195,136477222, F. H. Bosworth
196,136477222, Thomas Grainger Stewart
197,136477222, G
198,124905252,Samuel Longfellow
199,137579350,Frederic William Maitland
200,90128085,Louise Jordan Miln
201,89699729,Glenway Wescott
202,136611293,Charles Augustus Briggs
203,136611293, Emilie Grace Briggs
204,125290002,Robert Speer
205,90186165,George Park Fisher
206,136145177,Grant Perkins
207,136145177, David Keppel
208,136145177, Charles E. Locke
209,136145177, W. W. W. Wilson
210,136145177, Robert McIntyre
211,124759360,Oman
212,124907497,Andrew Lang
213,126287557,Octavius Brooks Frothingham
214,124891940,J. A. Symonds
215,124891940, Margaret
216,90142272,James S. Stone
217,137411847,Walter Rauschenbusch
218,124488747,F. Edward Hulme
219,125502663,Frederick W. Farrar
220,124777738,George Rawlinson
221,137412078,Lewis O. Brastow
222,89664298,John A. Doyle
223,89664298, Melville Bigelow
224,89664298, McMaster
225,89664298, John G. Nicolay
226,89664298, Mary Bateson
227,89664298, A.G. Bradley
228,89664298, H.W. Wilson
229,136966375,George A. Gordon
230,124882811,Cockburn Harvey
231,125242315,Thomas Morgan Rotch
232,126338733,Thomas F. Edmands
233,90133998,Julian Corbett
234,126629712,nan
235,137013746,J.S. Fletcher
236,89671364,Caspar Whitney
237,136133837,Harold Höffding
238,135644793,Theodor Lipps
239,136578336,Amory H. Bradford
240,89644779,James Wilson
241,90502364,Ada Earland
242,89664902,Peter S. Michie
243,89649761,Hiram Corson
244,125208652,J. James Tissot
245,136764528,Paul Sabatier
246,136883708,Frank Hastings Hamilton
247,137653744,Julian Hawthorne
248,124760371,Edward Gibson
249,89686151,Lewis Melville
250,89810450,Thomas Underwood Dudley
251,90145468,Charles Loring Brace
252,89639059,nan
253,125247266,Thomas Clifford Allbutt
254,89633413,Wm. Parker Cutler
255,89633413, Julia Perkins Cutler
256,89759190,Edwin Arnold
257,125252913,William Johnson Walsham
258,89668021,nan
259,136685639,T. T. Timayenis
260,126390206,nan
261,89659580,Lévy-Bruhl
262,90128412,Duke of Argyll
263,136413923,F.H. Storer
264,89686487,Charles H. Brent
265,89646693,Vida D. Scudder
266,136114077,J Wm Jones
267,89659229,Frank Jesup Scott
268,124141679,Owen Wister
269,124335919,Washington Gladden
270,124354297,Joseph T. Duryea
271,124362987,A. Mackennal
272,124451042,Max Nordau
273,124453505,Frances Margaret Milne
274,124454073,Burt Estes Howard
275,124463057,Charles F. Dole
276,124464853,Florence Morse Kingsley
277,124466556,Charles H. Stanley Davis
278,124466620,David G. Downey
279,124471315,C. F. Bonaventure
280,124471503,William Hall
281,124480872,Robert Louis Stevenson
282,124480872, Lloyd Osbourne
283,124496758,Stafford Ransome
284,124518738,Bernardo Guidonis
285,124699551,John Canon O'Hanlon
286,124699834,John J. Ming
287,124703086,Cécile Hugon
288,124708276,D. Chisholm
289,124733894,Maxwell Bodenheim
290,124737429,Katharine Holland Brown
291,124737516,Constantin Photiadès
292,124747248,A. D. T. Whitney
293,124747283,T. Edgar Pemberton
294,124748263,Harriet S. Blaine Beal
295,124748801,Clinton Scollard
296,124749716,Frederic C. Howe
297,124749889,nan
298,124750342,Jacques Futrelle
299,124751008,Stewart Edward White
300,124751689,Harrison Rhodes
301,124755017,Norman Duncan
302,124755037,Ethel M. Dell
303,124755063,Horace Vachell
304,124755242,Compton Mackenzie
305,124756269,Belloc-Lowndes
306,124757488,Harry Leon Wilson
307,124759955,Russell Sturgis
308,124764347,H. H. Furness
309,124770036,Louis Wallis
310,124777509,Sacha Guitry
311,124778880,George Matheson
312,124793440,Honoré de Balzac
313,124802485,John D. Long
314,124879138,Alice Herbert
315,124880240,nan
316,124880567,Helen Peel
317,124881664,Poultney Bigelow
318,124882200,L. de Villeneuve
319,124882997,James M. Ludlow
320,124883198,Benjamin Ward Richardson
321,124885364,Gerald Stanley Lee
322,124889299,R. Nisbet Bain
323,124891380,Randolph S. Churchill
324,124891914,H. Somers Somerset
325,124892048,Alfred Austin
326,124892460,J. A. Mitchell
327,124892575,Harold Frederic
328,124894699,Frances Courtenay Baylor
329,124896373,Charles Dudley Warner
330,124902758,A. J. Goodrich
331,124903884,Max Müller
332,124903897,Andrew F. West
333,124906219,Edmund Gosse
334,124906359,R. Heber Newton
335,124910319,Charles Lanman
336,124911338,W. D. Foulke
337,124913715,Shway Yeo
338,124913936,Charles de Kay
339,125238042,Charles F. Craig
340,125238876,William Williams Keen
341,125241543,L. R. G. Crandon
342,125241543, Albert Ehrenfried
343,125243937,W. Simon
344,125245060,Charles Truax
345,125251441,Roberts Bartholow
346,125274806,Francis Greenwood Peabody
347,125285780,Henry Clay Trumbull
348,125290224,Edward Payson Powell
349,125302755,George Haven Putnam
350,125327873,D. W. Faunce
351,125498506,John C. L. Sparks
352,125498506, Walter Gandy
353,125499337,John M. Robertson
354,125503375,H. D. Lowry
355,125504219,Mrs. John Hays Hammond
356,125523349,James Schouler
357,125524592,Frances Hodgson Burnett
358,125529634,Truman H. Bartlett
359,125705774,Emile Stocquart
360,125714948,J. H. Levy
361,125720170,nan
362,125720301,R. S. Wright
363,125720301, Hampton L. Carson
364,125722617,nan
365,125726448,Albert Francis Judd
366,125749308,Burr J. Ramage
367,125749576,Augustus D. Webb
368,125762745,Herman Albert
369,126339953,W. M. Flinders Petrie
370,126357405,Thomas Wentworth Higginson
371,126357675,J. W. Hanson
372,126360711,J. C. Street
373,126425076,Edith M. Thomas
374,126443123,Alexander V. G. Allen
375,126447331,Daniel Dorchester
376,126754584,nan
377,127406065,Paul du Chaillu
378,127824487,Austin Bierbower
379,128386629,nan
380,135792766,James Freeman Clarke
381,136117615,Wm. B. Riley
382,136129923,Augustus Mongredien
383,136134978,Oscar F. Safford
384,136138836,Carl Steuernagel
385,136139685,J. Brierley
386,136144286,H. R. Mackintosh
387,136144491,E. P. Brown
388,136145363,nan
389,136279861,Clara Bell Thurston
390,136415311,J. MacBride Sterrett
391,136416554,Evelyn Abbott
392,136447217,William W. Ireland
393,136458708,C. von Orelli
394,136463035,Rodolfo Lanciani
395,136463900,Henry B. Dawson
396,136466235,Henry Y. Satterlee
397,136470881,Henry M. Harman
398,136470963,nan
399,136480596,John Carter
400,136509325,Charles Caspari
401,136511431,W. Gilman Thompson
402,136513439,George M. Gould
403,136523506,W. Simon
404,136531825,Hobart Amory Hare
405,136533120,Henry W. Cattell
406,136562251,Bruno Keil
407,136570677,George Lansing Raymond
408,136588150,Pierre de Coubertin
409,136608189,Herbert Spencer
410,136609859,Frank Moore Colby
411,136609859, George Sandeman
412,136612423,Godoy
413,136614079,Maud Cruttwell
414,136617378,P. Rámanáthan
415,136623429,F. W. Maitland
416,136625622,Mrs. John Van Vorst (Bessie Van Vorst)
417,136709332,John Stuart Blackie
418,136751702,William Mackintosh
419,136752909,T. K. Cheyne
420,136760304,D. Bernhard Duhm
421,136846567,Austin Flint
422,136863090,Chalmers Watson
423,136871263,E. C. Dudley
424,136883779,John G. Lee
425,136894051,Hermann Schmidt-Rimpler
426,136917170,G. E. de Schweinitz
427,136918979,John Steinfort Kedney
428,136981322,Lady Gregory
429,137004313,C. F. Rey
430,137050115,Richard Eddy
431,137077283,Edmund J. James
432,137107056,Josiah Royce
433,137110441,W. P. Frith
434,137200952,Thomas H. Stacy
435,137211244,Froude
436,137391168,John Esten Cooke
437,137394179,George Randolph Chester
438,137404867,Jack Evans
439,137404867, Fred McMullen
440,137412786,S. Parkes Cadman
441,137412843,E. G. Sihler
442,137448397,Maffeo Pantaleoni
443,137484231,E. Levasseur
444,137485069,Gilbert Holland Montague
445,137545522,Joseph A. Seiss
446,137573733,F. C. Moore
447,137582298,Francis Newton Thorpe
448,137588340,T. K. Cheyne
449,137636080,nan
450,137693820,Frederic May Holland
451,137905361,nan
452,760121714,William Tappert
453,88403304,F. Marion Crawford
454,88407598,Helen M. Winslow
455,88435825,T. Holmes
456,88435825, John H. Packard
457,886556758,Albert S. Crockett
458,89641222,George Ticknor Curtis
459,89641746,Charles A. Briggs
460,89642340,Richard Grant White
461,89642709,Paul Leicester Ford
462,89646113,Henry M. Baird
463,89655249,Charles H. Peck
464,89655696,Maurice Leudet
465,89656875,E. D. Cope
466,89656889,Roundell Palmer
467,89664003,Elizabeth Wormeley Latimer
468,89664845,Elisabeth Luther Cary
469,89668294,Herbert Spencer
470,89669022,Frederick Lawton
471,89669855,Ralph Adams Cram
472,89670781,Henry Drummond Wolff
473,89671870,George F. Parker
474,89672139,Clark E. Carr
475,89672164,Richard Wagner
476,89678203,William Dudley Foulke
477,89678544,Kellogg
478,89679735,Olga Novikoff
479,89680750,Martin Luther
480,89683500,Raffaele Garofalo
481,89687165,W. B. Maxwell
482,89762776,Ronald Gower
483,89806553,John W. Haley
484,89808366,Archibald Campbell
485,89809419,Fields
486,89812878,Max O'Rell
487,90010449,Conningsby Dawson
488,90039035,F. W. Robinson
489,90053551,Gottfried Keller
490,90067735,A. P. Russell
491,90069853,Helen Kendrick Johnson
492,90070725,John Jacob Astor
493,90073662,Warburton Pike
494,90082618,"Wilhelmine, Margravine of Beireuth"
495,90082618, Princess Christian of Schleswig-Holstein
496,90082664,Edmund Gosse
497,90088137,Amelia B. Edwards
498,90103625,Denton J. Snider
499,90105510,H. G. O. Blake
500,90115938,Burton Willis Potter
501,90117442,Mullock Craik
502,90119457,Anna C. Brackett
503,90124345,T. B. Aldrich
504,90127265,Maarten Maartens
505,90129938,nan
506,90135301,nan
507,90135380,Mary Agnes Tincker
508,90135612,John Burnet
509,90137175,Joel Chandler Harris
510,90146669,Florence Traill
511,90146921,M. G. J. Kinloch 
512,90148591,Leo Errera
513,90150121,Anna L. Bicknell
514,90156577,Wm. H. Gilder
515,90161634,E. A. Wallis Budge
516,90167733,George S. Boutwell
517,90174040,Victor Duruy
518,90175002,Hutchins Hapgood
519,90176684,Michael Macdonagh
520,90197489,Margaret Horton Potter
521,90260196,E. S. P. Haynes
522,90330305,John Forbes
523,90332829,Susanna W. Dodds
524,90352866,Charles Bigg
525,90364802,George Grove
526,90367488,Canon Luckock
527,90373997,John Greenleaf Whittier
528,90393221,William M. Taylor
529,90426602,William Dean Howells
530,90426602, Thomas Sergeant Perry
531,90445484,F. L. Ritter
532,90473703,Francis E. Lloyd
533,90473703, Maurice E. Bigelow
534,90491457,William Bennett Munro
535,90502737,A. T. Quiller-Couch
536,90510855,G. A. Wentworth
537,90510855, G. A. Hill
538,90517789,Walter Flavius McCaleb
539,90527148,Walter Meynell
540,90539385,H. D. Rawnsley
541,90555133,George Meredith
542,90557538,Harry A. Franck
543,90561396,Ditlef Nielson
544,90563266,Hermann Von Soden
545,90565255,Frederick S. Dellenbaugh
546,90566851,F. Marion Crawford
547,90574871,Horace Hutchinson
548,90581659,C. D. Spivak
549,90581659, Sol. Bloomgarden
550,90582034,L. H. Bailey
551,90604485,Matilde Serao
552,90611376,Charles William Pearson
553,90612978,Thomas Graham Jackson
554,90624400,Louis Herbert Gray
555,90624400, George Foot Moore
556,90634096,Alpheus Henry Snow
557,90769643,Vincent Lawrence
558,90769643, Cohan
559,90832258,Philip Gibbs
560,90856638,Albert Elmer Hancock
561,91006924,Henry Lansdell
562,124729983,Martha Dickinson Bianchi
563,124730230,nan
564,124730550,Edward L. Bernays
565,124730800,Sir Harry H. Johnston
566,124731223,George Brandes
567,124731305,John Galsworthy
568,124731702,Wilfrid Lay
569,124731703,Edmund Lester Pearson
570,124731969,Paul Morand
571,124731981,Hester Thackeray Ritchie
572,124732325,S. Foster Damon
573,124732772,Percy D. Haughton
574,124732778,Carl Jung
575,124732778, Helton Godwin Baynes
576,124733057,John Drinkwater
577,124733077,Henry Kitchell Webster
578,124733172,A. Lawrence Lowell
579,124733282,Herbert Quick
580,124733326,Algernon Blackwood
581,124733406,Price Collier
582,124733465,Willa Sibert Cather
583,124733500,Ellen Glasgow
584,124733530,Kenneth Macgowan
585,124733593,Daniel Carson Goodman
586,124733601,Alfred Noyes
587,124733608,Vera Nikto
588,124733642,Frank Packard
589,124733644,William Winter
590,124733682,Truman A. DeWeese
591,124733683,Gilbert Parker
592,124733700,Robert Dull Elder
593,124733719,Natalie Sumner Lincoln
594,124733741,Cyrus Townsend Brady
595,124733744,J.C. Snaith
596,124733751,V. E. Roe
597,124733764,E.C. Bentley
598,124733773,Henry C. Lahee
599,124733782,Brieux
600,124733801,A Gentleman with a Duster
601,124733829,Ethel Gertrude Hart
602,124733834,Albert Edwards
603,124733863,Margaret Turnbull
604,124733930,Witter Bynner
605,124733948,nan
606,124733971,Gamaliel Bradford
607,124733975,John Hall Wheelock
608,124733983,Remy de Gourmont
609,124905813,Mac Kie
610,124898696,Elliot
611,124751254,Owen Rhoscomyl
612,124762352,Josephine Daskam
613,124891813,Blanc
614,124750036,Mary E. Mann
615,90148147,Count Leo Tolstoï
616,89652586,David MacGregor Means
617,124745977,Robert Aitken
618,124739265,Dolf Wyllarde
619,124904338,Octave Feuillet
620,124760289,Walter Brooks Brouner
621,124760289, Fung Yuet Mow
622,89694134,Robinson
623,90515626,Thomas Dwight Goodell
624,90137315,Laughlin
625,90608987,Hope
626,124897726,Geo. Willis Cooke
627,89661606,W. H. Mallock
628,124898008,Hill
629,124751461,Cynthia M. Westover
630,124905803,Hall Harrison
631,90086111,Dubois
632,90086111, Diana White
633,90073187,Rose Elizabeth Cleveland
634,89666176,Lewis Morris
635,124735998,Sarah Comstock
636,90335806,Peter S. Michie
637,90184139,R. W. Thompson
638,90528835,Morgan
639,90558759,W. B. Smith
640,89688816,Ezra Pound
641,90456265,Jules Breton
642,90105449,Ram Chandra Bose
643,90539958,Clarence F. Birdseye
644,124894643,Sudermann
645,124750909,E. Temple Thurston
646,124740896,Elizabeth W. Champney
647,124882999,Theodore Child
648,90585406,Kellogg
649,89644413,Von Holst
650,124748533,Martin
651,124873327,Edith Wharton
652,124873327, Maxfield Parrish
653,89694696,Sinclair
654,90160523,Edwina Booth Grossman
655,89641952,J. A. Symonds
656,89641952, Margaret Symonds
657,89666727,Walter Armstrong
658,89641872,Thomas M. Cooley
659,124897462,Hone
660,90148377,Hapgood
661,124878027,Elmore Elliot Peake
662,124872541,Adam
663,90123408,Du Maurier
664,90596896,Alfred Dreyfus
665,90596896, L. G. Moreau
666,124907178,Maurice Francis Egan
667,124904242,Austin Dobson
668,124897346,Hardy
669,90339355,J. M. Hart
670,124906053,Moulton
671,89664166,Flournoy
672,124755005,Lee Foster Hartman
673,90144365,Henry Vizitelly
674,124750050,Edward Peple
675,90638820,Robert Halifax
676,124736621,Albert D. Taylor
677,124749139,Johnston
678,90540450,Phillips
679,124908238,H. Cholmondeley-Pennell
680,124763895,Katrina Trask
681,89677297,Percival Lowell
682,90160891,George Alfred Townsend
683,90137386,R. Brinsley Johnson
684,90181888,Lang
685,90103211,Denison
686,124751439,Graham Balfour
687,90355613,J. W. De Forest
688,124891067,Davis
689,124890069,William Winter
690,90120547,Clafin
691,90142397,Emily Dickinson
692,89660493,Vincent Y. Bowditch
693,90175555,John Fiske
694,124876337,Scott
695,90604818,Adolph Danzinger
696,124901421,Frank Lin
697,124742023,Ernest Poole
698,124752209,René Bazin
699,90124503,Scudder
700,90167842,Count Paul Vasili
701,89645979,E. W. Latimer
702,90115155,James Schouler
703,89659233,Drude
704,89659233, C. R. Mann
705,89659233, R. A. Millikan
706,124910164,Schouler
707,124760648,Lowndes
708,90422191,Edward P. Humphrey
709,124892624,Alfred E. T. Watson
710,89678933,Goldman
711,89989565,Bingham
712,90165590,A. Santos-Dumont
713,89683324,Wilbur Daniel Steele
714,90133175,Saintsbury
715,90505981,Brown
716,124890353,John Burroughs
717,89632965,Robert Browning
718,124746128,Frederic C. Howe
719,90574713,Martin
720,124754677,Echegaray
721,124744484,Abbé E. Wetterlé
722,90511584,Harold Spender
723,90199333,H. G. Wells
724,90608879,Edward R. Pease
725,90112735,Flinders Petrie
726,124882971,Johanna Ambrosius
727,89663063,Charles Booth
728,89642276,Sidney Lanier
729,124751211,Shipman
730,89678271,Sidney Low
731,90146482,Samuel Irenæus Prime
732,90140198,Crawford
733,90151573,Stokes
734,89654537,Jusserand
735,89655051,Poe
736,89655051, James A. Harrison
737,89664154,A.W. Ward
738,89664154, G.W. Prothero
739,89664154, Stanley Leathes
740,90162568,Harris
741,90056191,Leslie Stephen
742,90442005,Edmund Clarence Stedman
743,124910087,Fouillée
744,124755520,Harris Dickson
745,90139487,Ernest Nister
746,124752291,Jean Webster
747,90379598,Adam Badeau
748,89639781,Sidney Lanier
749,90114580,Froude
750,89677757,Arnold Bennett
751,90155769,P. Giles
752,124750525,Quiller-Couch
753,90157475,Chambers
754,124762056,Burton Harrison
755,90136560,Herbert Milton Sylvester
756,90371140,Henry B. Smith
757,124908173,Buel
758,124742694,Brown
759,89673716,Sinclair
760,90099976,Barrows
761,90603231,W. H. Payne
762,90134956,Morse
763,124755999,Harben
764,90115605,William Conant Church
765,89673601,Fielding-Hall
766,90090195,Wood
767,90138917,Andrew Lang
768,124889122,Cahan
769,90081303,Augusta Hale Gifford
770,89637120,Guernsey
771,90155418,John A. Hobson
772,124899418,Rein
773,90597110,Oliver
774,90148296,Edwards
775,124743941,Jeannette Marks
776,89673285,Peter H. Ditchfield
777,89649251,Alethea Wiel
778,124743078,Mark Twain
779,89650728,Frederick W. Holls
780,90539715,Harnack
781,90539715, Herrmann
782,90568501,Iles
783,90145983,William Francis Brand
784,124892513,E. A. Freeman
785,89636377,Percival Lowell
786,89681827,Carl H. Grabo
787,90123467,Pole
788,89638581,Charles Dudley Warner
789,90012908,Bassett
790,89686189,Adams
791,124895326,Washington Irving
792,124914686,Dahlgren
793,124884406,A. de Burgh
794,89682138,J. Laurence Laughlin
795,89670618,B. L. Putnam Weale
796,90550796,Carlyle
797,90550796, James Crichton-Browne
798,89676253,Francis Thompson
799,124904428,John Sherwood
800,90590911,Krehbiel
801,90430433,J.A. Doyle
802,124737476,Daviess
803,89676540,René Stourm
804,90163058,Walter
805,124913731,Isabel Florence Hapgood
806,124745996,George S. Hellman
807,124741430,Roosevelt
808,124748017,Townsend
809,124759552,Francis Wilson
810,124757266,Arthur Goodrich
811,90164064,M. Maeterlinck
812,90140590,Edith Simcox
813,89667287,Meredith Nicholson
814,124755477,Marguerite Bryant
815,89641010,Symington
816,90520984,Alexander Kerr
817,124737521,Basil Macdonald Hastings
818,124907487,F. de L. Booth-Tucker
819,90386133,George B. Cheever
820,90039134,Ingleby
821,89683702,Yung Wing
822,89674572,Marchant
823,124913983,Newcomb
824,89659276,F. Gerard
825,90564868,Hadden
826,124752973,Elizabeth Cooper
827,89640178,James Baldwin
828,124911435,Mary Russell Mitford
829,124742206,Herbert Trench
830,90120206,Helen Jackson
831,90136399,W. S. Schley
832,90136399, J. R. Soley
833,124738183,Lafarge
834,90179797,James Smethan
835,124902232,Rolleston
836,90604866,W. B. Maxwell
837,90133280,W. J. Henderson
838,124739187,George Broadhurst
839,90137495,Parkman
840,89643057,John Bidgood
841,124761958,Louise Imogene Guiney
842,90292950,Wallis Nash
843,90323925,Nathaniel Hawthorne
844,89663335,N. S. Shaler
845,89671025,H. P. Adams
846,89697959,Burtt
847,90107235,Bird
848,89667792,Titchener
849,89671243,Ernest Alfred Vizetelly
850,90598714,Oliver Lodge
851,90068573,Ernst von Wildenbruch
852,90068573, Marie von Zglinitzka
853,89672878,Macy
854,90373136,Abner Doubleday
855,124899809,Hyppolyte Adolphe Taine
856,89673510,Hadley
857,124750562,Willa Sibert Cather
858,124914482,Léon Tolstoi
859,90372895,Newman Smyth
860,124756142,Dawson
861,124739526,Dejeans
862,89990815,Colquhoun
863,90139184,Mark Monnier
864,124895119,Thomas W. Knox
865,124739868,Gamaliel Bradford
866,90590977,Joseph Rowntree
867,90590977, Arthur Sherwell
868,89639567,Warner
869,124746690,Havelock Ellis
870,90362226,Schuyler
871,90580847,George Barr McCutcheron
872,124913490,John Edward Haynes
873,90530908,George S. Boutwell
874,124876576,Moody
875,90534596,Yoxall
876,90575465,Davidson
877,124761613,Molly Elliot Seawell
878,90573412,Bartlett
879,90539956,Henry Murger
880,89998501,James Huneker
881,90129690,Hawthorne
882,89667624,Meany
883,90060122,F. Marion Crawford
884,90116399,Hunt
885,124752167,Jewett
886,90139762,Oswald
887,124745923,Alfred Ollivant
888,89642616,W. Davies
889,89678534,Frank Dilnot
890,124902340,Graham
891,124741603,Grace Sartwell Mason
892,90137217,C. Schuchhardt
893,124897217,Compayré
894,90120238,Nourse
895,90399240,Laura Winthrop Johnson
896,90633573,Edgar Stanton Maclay
897,90131919,A. Stirling
898,89673264,Pierre Loti
899,90560925,H. W. Clark
900,124742132,Duchesse de Dino
901,89674825,Charles E. Whitmore
902,89679147,Madeline Alston
903,124909516,Charles Morris
904,90157990,Fawcett
905,90493577,P. Chalmers Mitchell
906,90160472,Dallas Lore Sharp
907,89682838,E. Norman
908,90422744,Noah Webster
909,89634846,J. J. Rein
910,90194791,Benjamin Howard
911,124749101,Henry Longan Stuart
912,90556967,Gilfillan
913,89650747,Alleyne Ireland
914,90568424,W. Lawler Wilson
915,90632525,Warren
916,124740057,John Drinkwater
917,124910760,Perrot
918,124910760, Chipiez
919,124904121,Watson
920,124750513,Arthur Heming
921,90619218,Lewis Michell
922,90547989,William Winter
923,90097003,Joseph Henry Allen
924,90563162,Thomas W. Lawson
925,89692178,Joris-Karl Huysmans
926,124752593,Anthony Hope
927,90571919,Hanotaux
928,90575503,Roland G. Usher
929,90498217,Moody
930,89673446,H. A. L. Fisher
931,124901831,J. G. Fitch
932,124751360,Mary Holland Kinkaid
933,90593858,Charles Frederick Stansbury
934,90587489,Moorfield Storey
935,90587489, Edward W. Emerson
936,90638527,Robert Keable
937,90617894,Theodore Watts-Dunton
938,90351836,Hart
939,89674596,Edmund Lester Pearson
