,record_id,start_page,volume,numeric_pub_date,record_title,issue,pagination,url_doc_view,pub_id,review_type,reviewed_book_genre,genre_parsed
63,136707079,152,28,18830823,Books and Authors.,8,152,http://search.proquest.com/docview/136707079/,35616,single_focus,Nonfiction,nonfiction
64,124744486,517,30,19100101,"II ARTHUR SYMONS'S ""THE ROMANTIC MOVEMENT IN ENGLISH POETRY""",5,,http://search.proquest.com/docview/124744486/,24243,single_focus,Nonfiction,nonfiction
67,124451296,504,,18960201,THE LAND OF THE MUSKEG.,No. LXXV.,504,http://search.proquest.com/docview/124451296/,24237,single_focus,Nonfiction,nonfiction
69,124914654,208,,18820729,Music,41,208,http://search.proquest.com/docview/124914654/,24238,single_focus,Nonfiction - autobiographical,nonfiction
72,127446458,1122,77,18990830,OUR BOOK TABLE,35,1122,http://search.proquest.com/docview/127446458/,24380,single_focus,Nonfiction,nonfiction
73,90390994,195,203,18941027,ST. TERESA.,2625,195,http://search.proquest.com/docview/90390994/,35437,single_focus,Nonfiction,nonfiction
75,124688361,16,125,19240604,STRESSES IN FRAMED STRUCTURES,2447,16,http://search.proquest.com/docview/124688361/,24531,single_focus,Nonfiction,nonfiction
76,89676052,338,,19171011,Enrico Ferri,751,338,http://search.proquest.com/docview/89676052/,25244,single_focus,Nonfiction,nonfiction
79,90272171,616,316,19230310,Review 1 -- No Title,4105,616,http://search.proquest.com/docview/90272171/,35438,single_focus,Nonfiction - travel,nonfiction
81,90099356,60,13,18820225,DOROTHY.,4,60,http://search.proquest.com/docview/90099356/,25067,single_focus,Poetry,poetry
82,136758573,561,3,18940901,Review 20 -- No Title,11,561,http://search.proquest.com/docview/136758573/,24702,single_focus,Nonfiction,nonfiction
83,89664544,205,XXVIII,19000316,The Peasant's War.,330,205,http://search.proquest.com/docview/89664544/,25244,single_focus,Nonfiction,nonfiction
84,124909790,268,8,18871126,Holiday Publications,204,268,http://search.proquest.com/docview/124909790/,24241,single_focus,Nonfiction,nonfiction
86,90135638,158,20,18890511,Nature and Man.,10,158,http://search.proquest.com/docview/90135638/,25067,single_focus,Nonfiction,nonfiction
87,89751266,281,33,18810201,Review 1 -- No Title,2,281,http://search.proquest.com/docview/89751266/,24087,single_focus,Nonfiction - biographical,nonfiction
88,125730970,638,36,19020701,Review 2 -- No Title,,638,http://search.proquest.com/docview/125730970/,35448,single_focus,Nonfiction - report,nonfiction
89,90159404,356,13,18821021,"Miss Amelia E. Barr's ""Young People of Shakespeare's Dramas.""",21,356,http://search.proquest.com/docview/90159404/,25067,single_focus,Nonfiction - historical,nonfiction
91,90598758,1089,57,19041110,Literature,2919,1089,http://search.proquest.com/docview/90598758/,24565,single_focus,Nonfiction - autobiographical,nonfiction
95,124752894,262,40,19141101,"THE COMES UP SMILING""",3,,http://search.proquest.com/docview/124752894/,24243,single_focus,Drama - romance,drama
96,89676173,329,XLIX,19101101,ROMANTICISM IN LITERATURE AND LIFE.,585,329,http://search.proquest.com/docview/89676173/,25244,single_focus,Nonfiction - historical,nonfiction
99,90631209,442,97,19190329,The Story of the Pilgrims,3668,442,http://search.proquest.com/docview/90631209/,24565,single_focus,Nonfiction,nonfiction
100,90622858,22,113,19240705,A Modern Shepherd to His Flock,3872,22,http://search.proquest.com/docview/90622858/,24567,single_focus,Nonfiction,nonfiction
101,89683657,175,XLIX,19100916,"""APPRAISED BY SMITH.""",582,175,http://search.proquest.com/docview/89683657/,25244,single_focus,Nonfiction,nonfiction
102,89646871,179,XVI,18940316,THE GREENLANDER AT HOME.,186,179,http://search.proquest.com/docview/89646871/,25244,single_focus,Nonfiction,nonfiction
103,127542608,53,76,18980112,Review 2 -- No Title,2,53,http://search.proquest.com/docview/127542608/,24380,single_focus,Nonfiction,nonfiction
104,127390820,91,71,18930322,Our Book Table.,12,91,http://search.proquest.com/docview/127390820/,24380,single_focus,Nonfiction,nonfiction
107,89653017,440,XXVIII,19000601,An example of amiable verbosity.,335,440,http://search.proquest.com/docview/89653017/,25244,single_focus,Nonfiction - autobiographical,nonfiction
108,136992742,397,102,19060801,Students and the Modern Missionary Crusade,8,397,http://search.proquest.com/docview/136992742/,35682,single_focus,Nonfiction - addresses,nonfiction
109,124747684,55,16,19020901,"IV. MR. HARBEN'S ""ABNER DANIEL.""",1,,http://search.proquest.com/docview/124747684/,24243,single_focus,Fiction,fiction
110,125348650,1,55,18840501,Review 2 -- No Title,18,1,http://search.proquest.com/docview/125348650/,24208,single_focus,Nonfiction - lecture,nonfiction
112,125272943,13,72,19010404,Review 3 -- No Title,14,13,http://search.proquest.com/docview/125272943/,24208,single_focus,Nonfiction,nonfiction
115,124766315,351,5,18970601,Review 11 -- No Title,4,,http://search.proquest.com/docview/124766315/,24243,single_focus,Fiction,fiction
118,136964116,490,89,19080627,President Hadley on Public Morals,9,490,http://search.proquest.com/docview/136964116/,35617,single_focus,Nonfiction,nonfiction
122,124178806,388,87,19020315,The Literature of the Day,11,388,http://search.proquest.com/docview/124178806/,26207,single_focus,Drama,drama
126,125715359,157,29,18950101,Review 2 -- No Title,,157,http://search.proquest.com/docview/125715359/,35448,single_focus,Nonfiction - legal,nonfiction
128,137097377,465,199,19140301,FAMILIAR SPANISH TRAVELS.,700,465,http://search.proquest.com/docview/137097377/,40705,single_focus,Nonfiction - travel,nonfiction
129,124450952,XIII,,18940101,"THE FOUNTAIN OF LIFE, OR THE THREEFOLD POWER OF SEX.",No. L.,XIII,http://search.proquest.com/docview/124450952/,24237,single_focus,Nonfiction,nonfiction
130,89671396,404,LXI,19161116,A doctor of divinity's human side.,729,404,http://search.proquest.com/docview/89671396/,25244,single_focus,Nonfiction - biographical,nonfiction
131,124898408,114,16,18910905,"Mme. Bazan's ""Wedding-Trip""",401,114,http://search.proquest.com/docview/124898408/,24241,single_focus,Fiction - novel,fiction
136,90153449,20,11,18800117,GILBERT STUART.,2,20,http://search.proquest.com/docview/90153449/,25067,single_focus,Nonfiction - biographical,nonfiction
137,90154588,75,16,18850307,GOSSE'S GRAY.,6,75,http://search.proquest.com/docview/90154588/,25067,single_focus,Poetry,poetry
138,90161546,77,34,19030401,MAXIM GORKY.,4,,http://search.proquest.com/docview/90161546/,25067,single_focus,Nonfiction - biographical,nonfiction
140,124732047,460,59,19240601,THE BOOK OF THE MONTH,4,,http://search.proquest.com/docview/124732047/,24243,single_focus,Poetry,poetry
146,90546389,681,57,19040922,Review 4 -- No Title,2912,681,http://search.proquest.com/docview/90546389/,24565,single_focus,Fiction,fiction
151,125547097,153,XXIV,18820501,"Robinson's ""Wild Garden.""",1,153,http://search.proquest.com/docview/125547097/,24807,single_focus,Nonfiction,nonfiction
152,136971619,764,85,19070330,A Little Old World,13,764,http://search.proquest.com/docview/136971619/,35617,single_focus,Fiction,fiction
153,124907408,201,14,18901025,A Western Volapuk,356,201,http://search.proquest.com/docview/124907408/,24241,single_focus,Nonfiction - reference,nonfiction
162,136872320,413,70,18970327,REVIEWS.,13,,http://search.proquest.com/docview/136872320/,24230,single_focus,Nonfiction,nonfiction
168,90142613,237,28,18970724,THE GADFLY.,15,,http://search.proquest.com/docview/90142613/,25067,single_focus,Fiction - novel,fiction
170,90537156,1342,59,19051207,The City: The Hope of Democracy,2975,1342,http://search.proquest.com/docview/90537156/,24565,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
179,90164528,86,26,18950323,LATIN POETRY.,6,,http://search.proquest.com/docview/90164528/,25067,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
184,89662238,76,XXIV,18980201,A MONUMENTAL WORK FOR BIBLE STUDENTS.,279,76,http://search.proquest.com/docview/89662238/,25244,single_focus,Nonfiction - religious,nonfiction
189,90528767,221,68,19070725,Review 10 -- No Title,3060,221,http://search.proquest.com/docview/90528767/,24565,single_focus,Nonfiction - religious,nonfiction
190,89649785,202,XXVIII,19000316,THE RACES OF EUROPE.,330,202,http://search.proquest.com/docview/89649785/,25244,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
191,873897343,3,37,19040617,NEW PUBLICATIONS,1,,http://search.proquest.com/docview/873897343/,266689,single_focus,Nonfiction - reference,nonfiction
195,126400532,79,49,18820308,THE MAKING OF ENGLAND.,10,79,http://search.proquest.com/docview/126400532/,34897,single_focus,Nonfiction - historical,nonfiction
196,90251773,298,265,19100430,POLITICAL POETRY.,3434,298,http://search.proquest.com/docview/90251773/,35438,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
201,124900705,1,19,18930107,Sir Daniel Wilson's Ethnographic Studies,568,1,http://search.proquest.com/docview/124900705/,24241,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
203,124764451,362,6,18971201,BRANDER MATTHEWS'S SHORT STORIES.,4,,http://search.proquest.com/docview/124764451/,24243,single_focus,Fiction - short story,fiction
206,124740955,382,54,19211201,A SHELF OF RECENT BOOKS,4,,http://search.proquest.com/docview/124740955/,24243,single_focus,Fiction - novel,fiction
208,136025939,6,93,19050329,Our Book Table,13,6,http://search.proquest.com/docview/136025939/,24536,single_focus,Nonfiction - religious,nonfiction
210,124464443,XIX,,18931101,THE RED MAN'S GREETING.,No. XLVIII.,XIX,http://search.proquest.com/docview/124464443/,24237,single_focus,Nonfiction,nonfiction
213,90126262,106,11,18800327,MR. ROLFE'S KING JOHN.,7,106,http://search.proquest.com/docview/90126262/,25067,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
215,90136958,22,23,18920116,LETTERS OF CHARLES DICKENS TO WILKIE COLLINS.,2,,http://search.proquest.com/docview/90136958/,25067,single_focus,Nonfiction,nonfiction
220,90527657,354,51,18990202,A HANDBOOK OF MEDICAL CLIMATOLOGY.,2618,354,http://search.proquest.com/docview/90527657/,24565,single_focus,Nonfiction - science,nonfiction
223,90085409,290,15,18840906,THE BABY'S GRANDMOTHER.,18,290,http://search.proquest.com/docview/90085409/,25067,single_focus,Fiction - novel,fiction
227,90630633,2313,54,19020925,Those Delightful Americans.,2808,2313,http://search.proquest.com/docview/90630633/,24565,single_focus,Fiction - novel,fiction
228,89636788,211,Vol.XII.,18911101,THE ORIGIN OF SOCIETY.,139,211,http://search.proquest.com/docview/89636788/,25244,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
231,136412237,227,11,18870901,CURRENT LITERATURE.,210,,http://search.proquest.com/docview/136412237/,35595,single_focus,Nonfiction,nonfiction
232,136413083,137,12,18880201,Review 8 -- No Title,215,,http://search.proquest.com/docview/136413083/,35595,single_focus,Nonfiction - religious,nonfiction
233,124904526,2,20,18930701,"""Where Three Empires Meet""",593,2,http://search.proquest.com/docview/124904526/,24241,single_focus,Nonfiction - travel,nonfiction
236,90136515,171,19,18880526,Sunday Legislation.,11,171,http://search.proquest.com/docview/90136515/,25067,single_focus,Nonfiction,nonfiction
237,90097518,148,18,18870514,MR. BUCHANAN'S LOOK ROUND LITERATURE.,10,148,http://search.proquest.com/docview/90097518/,25067,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
240,136145477,817,31,19150901,Review 8 -- No Title,5,817,http://search.proquest.com/docview/136145477/,35593,single_focus,Nonfiction - religious,nonfiction
241,136887509,555,15,18850418,REVIEWS AND BOOK NOTICES.,15,555,http://search.proquest.com/docview/136887509/,24284,single_focus,Nonfiction - science,nonfiction
242,90306296,12,33,18811124,Review 2 -- No Title,1721,12,http://search.proquest.com/docview/90306296/,24565,single_focus,Nonfiction - historical,nonfiction
244,90133341,411,12,18811119,NUMA ROUMESTAN.,24,411,http://search.proquest.com/docview/90133341/,25067,single_focus,Fiction - novel,fiction
248,124754571,667,38,19140201,"""THE DEVIL'S GARDEN""",6,,http://search.proquest.com/docview/124754571/,24243,single_focus,Fiction - novel,fiction
250,124879331,274,23,18950413,"""Majesty""",686,274,http://search.proquest.com/docview/124879331/,24241,single_focus,Fiction,fiction
251,90187613,255,20,18890803,SIR THOMAS WYATT.,16,255,http://search.proquest.com/docview/90187613/,25067,single_focus,Poetry,poetry
255,125730521,585,7,18991201,BOOK REVIEWS.,12,585,http://search.proquest.com/docview/125730521/,24996,single_focus,Nonfiction - reference,nonfiction
259,90606790,819,61,19061004,Review 9 -- No Title,3018,819,http://search.proquest.com/docview/90606790/,24565,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
262,90579980,95,56,19040114,Literature,2876,95,http://search.proquest.com/docview/90579980/,24565,single_focus,Nonfiction,nonfiction
265,124759540,133,22,19051001,"""The Man of the Hour""",2,,http://search.proquest.com/docview/124759540/,24243,single_focus,Fiction - novel,fiction
270,90542092,369,67,19090812,Review 6 -- No Title,3167,369,http://search.proquest.com/docview/90542092/,24565,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
272,126315326,641,4,19031201,Review 2 -- No Title,6,641,http://search.proquest.com/docview/126315326/,24304,single_focus,Nonfiction - reference,nonfiction
274,125249020,450,109,18950401,Review 1 -- No Title,4,450,http://search.proquest.com/docview/125249020/,41361,single_focus,Nonfiction,nonfiction
276,137195890,235,146,18880201,VI.,375,235,http://search.proquest.com/docview/137195890/,40705,single_focus,Fiction - novel,fiction
278,90944121,2,5,18871217,THE SCIENCE OF SOCIETY.,10,2,http://search.proquest.com/docview/90944121/,24282,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
282,90048854,192,11,18800605,MAN BEFORE ADAM.,12,192,http://search.proquest.com/docview/90048854/,25067,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
283,125734890,453,46,19140101,Review 15 -- No Title,1,,http://search.proquest.com/docview/125734890/,24994,single_focus,Nonfiction - science,nonfiction
284,137744808,233,78,18840401,Review 1 -- No Title,4,233,http://search.proquest.com/docview/137744808/,25243,single_focus,Nonfiction - science,nonfiction
285,136617842,649,101,19120720,Review 5 -- No Title,12,649,http://search.proquest.com/docview/136617842/,35617,single_focus,Nonfiction - biographical,nonfiction
287,90621097,302,83,19150830,A NATURE NOVEL,3482,302,http://search.proquest.com/docview/90621097/,24565,single_focus,Fiction,fiction
292,125236598,600,160,19201001,Review 3 -- No Title,4,600,http://search.proquest.com/docview/125236598/,41361,single_focus,Nonfiction - science,nonfiction
293,124707428,559,34,19090701,STUDI E RICERCHE INTORNO A S. GIOVANNI CRISOSTOMO;,135,559,http://search.proquest.com/docview/124707428/,24831,single_focus,Nonfiction - religious,nonfiction
294,91093327,324,41,18871222,RECENT PUBLICATIONS,21,,http://search.proquest.com/docview/91093327/,35778,single_focus,Nonfiction - religious,nonfiction
296,136106028,6,91,19031209,Review 2 -- No Title,49,6,http://search.proquest.com/docview/136106028/,24536,single_focus,Fiction - novel,fiction
297,136619825,237,,19060922,Comment on Current Books,,237,http://search.proquest.com/docview/136619825/,35617,single_focus,Nonfiction - religious,nonfiction
298,90132097,208,15,18840628,A BOOK FOR MOTHERS.,13,208,http://search.proquest.com/docview/90132097/,25067,single_focus,Nonfiction,nonfiction
299,90569421,370,68,19100217,Review 3 -- No Title,3194,370,http://search.proquest.com/docview/90569421/,24565,single_focus,Nonfiction - autobiographical,nonfiction
300,137449682,529,XII,18970901,Review 8 -- No Title,3,529,http://search.proquest.com/docview/137449682/,41163,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
301,90553805,270,55,19030129,Review 5 -- No Title,2826,270,http://search.proquest.com/docview/90553805/,24565,single_focus,Nonfiction - autobiographical,nonfiction
302,136492393,105,61,18920723,REVIEWS.,4,,http://search.proquest.com/docview/136492393/,24230,single_focus,Nonfiction - science,nonfiction
304,124463109,557,VOL. 35,19060501,Review 4 -- No Title,No. 198,557,http://search.proquest.com/docview/124463109/,24237,single_focus,Fiction - novel,fiction
306,126443468,120,22,18850101,Review 7 -- No Title,,,http://search.proquest.com/docview/126443468/,35796,single_focus,Nonfiction,nonfiction
310,136113370,19,86,18980406,LITERARY.,14,19,http://search.proquest.com/docview/136113370/,24536,single_focus,Nonfiction - religious,nonfiction
311,126389415,254,22,18850401,Review 1 -- No Title,,,http://search.proquest.com/docview/126389415/,35796,single_focus,Nonfiction - biographical,nonfiction
313,127467154,84,84,19060117,Review 1 -- No Title,3,84,http://search.proquest.com/docview/127467154/,24380,single_focus,Nonfiction - religious,nonfiction
314,90126417,151,11,18800508,EATON'S HISTORY OF ENGLISH CIVIL SERVICE REFORM.,10,151,http://search.proquest.com/docview/90126417/,25067,single_focus,Nonfiction - historical,nonfiction
315,124359262,656,8,18871201,"GESCHICHTE DER PAPSTE SEIT DEM AUSGANG DES MITTELALTERS,",48,656,http://search.proquest.com/docview/124359262/,24421,single_focus,Nonfiction - historical,nonfiction
318,136142931,161,23,19070101,Review 6 -- No Title,1,161,http://search.proquest.com/docview/136142931/,35593,single_focus,Nonfiction,nonfiction
322,90313218,10,35,18831220,Review 12 -- No Title,1829,10,http://search.proquest.com/docview/90313218/,24565,single_focus,Nonfiction - biographical,nonfiction
326,124896942,401,24,18951214,"""The History of 'Punch'""",721,401,http://search.proquest.com/docview/124896942/,24241,single_focus,Nonfiction - historical,nonfiction
331,90739286,496,57,19110309,Ye LATEST BOOKS,1480,496,http://search.proquest.com/docview/90739286/,35397,single_focus,Fiction - novel,fiction
333,89667045,392,XL,19060616,The Jew in Southern life and society.,480,392,http://search.proquest.com/docview/89667045/,25244,single_focus,Nonfiction - historical,nonfiction
334,89644579,117,XXI,18960901,THE INTELLECTUAL DEVELOPMENT OF WOMEN.,245,117,http://search.proquest.com/docview/89644579/,25244,single_focus,Nonfiction,nonfiction
336,124764143,250,6,18971101,"THE FANTASTIC FICTION; OR, ""THE INVISIBLE MAN.""",3,,http://search.proquest.com/docview/124764143/,24243,single_focus,Fiction - novel,fiction
340,90635208,313,109,19221125,The Literary Legacy of Seneca,3830,313,http://search.proquest.com/docview/90635208/,24567,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
341,124764069,153,7,18980401,A HISTORY OF DANCING.,2,,http://search.proquest.com/docview/124764069/,24243,single_focus,Nonfiction - historical,nonfiction
342,136621698,864,,19121221,Review 5 -- No Title,,864,http://search.proquest.com/docview/136621698/,35617,single_focus,Nonfiction - travel,nonfiction
343,124345912,747,19,18931101,THE SON OF A PROPHET.,114,747,http://search.proquest.com/docview/124345912/,24421,single_focus,Nonfiction - religious,nonfiction
345,90440078,176,210,18960718,A FLORENTINE DESPOT.,2715,176,http://search.proquest.com/docview/90440078/,35437,single_focus,Nonfiction,nonfiction
346,136532533,523,78,19010330,Review 2 -- No Title,13,,http://search.proquest.com/docview/136532533/,24230,single_focus,Nonfiction - science,nonfiction
348,125727674,177,39,19070101,Review 56 -- No Title,1,,http://search.proquest.com/docview/125727674/,24994,single_focus,Nonfiction - reference,nonfiction
349,124892989,421,21,18940623,"""In Varying Moods""",644,421,http://search.proquest.com/docview/124892989/,24241,single_focus,Fiction - short story,fiction
351,90078026,166,17,18860515,Review 3 -- No Title,10,166,http://search.proquest.com/docview/90078026/,25067,single_focus,Fiction - novel,fiction
353,90500700,40,69,19100707,Review 3 -- No Title,3214,40,http://search.proquest.com/docview/90500700/,24565,single_focus,Fiction - short story,fiction
357,89680665,204,XLVIII,19100316,Back-yard studies of the stars.,570,204,http://search.proquest.com/docview/89680665/,25244,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
358,136750674,383,3,18940601,Review 7 -- No Title,10,383,http://search.proquest.com/docview/136750674/,24702,single_focus,Nonfiction - religious,nonfiction
359,137173034,296,85,18890701,Miscellany.,7,296,http://search.proquest.com/docview/137173034/,35682,single_focus,Nonfiction - reference,nonfiction
361,90121448,245,26,18950810,CELIBATES.,16,,http://search.proquest.com/docview/90121448/,25067,single_focus,Fiction - short story,fiction
363,125248292,193,91,18860101,Review 17 -- No Title,181,193,http://search.proquest.com/docview/125248292/,41361,single_focus,Nonfiction - science,nonfiction
365,89686172,194,LXIV,19180228,Background Without Tradition,761,194,http://search.proquest.com/docview/89686172/,25244,single_focus,Nonfiction - autobiographical,nonfiction
372,89689843,389,LVIII,19150513,A satire and some one-act plays by Mr. Jones.,694,389,http://search.proquest.com/docview/89689843/,25244,single_focus,Drama,drama
373,90838561,665,56,19061101,Review 1 -- No Title,2,665,http://search.proquest.com/docview/90838561/,24813,single_focus,Nonfiction,nonfiction
375,90173545,426,22,18911121,SHARP EYES.,24,,http://search.proquest.com/docview/90173545/,25067,single_focus,Nonfiction - science,nonfiction
378,125503432,248,7,18970815,THE WALDENSES,7,248,http://search.proquest.com/docview/125503432/,24471,single_focus,Nonfiction,nonfiction
383,124980283,10,LXX,19080104,New Publications.,1,10,http://search.proquest.com/docview/124980283/,34598,single_focus,Nonfiction - science,nonfiction
384,89671107,71,XLIV,19080201,EARL PERCY AND HIS DINNER-GUESTS.,519,71,http://search.proquest.com/docview/89671107/,25244,single_focus,Fiction - novel,fiction
386,90499007,3295,51,18991207,LITERATURE.,2662,3295,http://search.proquest.com/docview/90499007/,24565,single_focus,Nonfiction,nonfiction
387,90135027,143,20,18890427,MINOR NOTICES.,9,143,http://search.proquest.com/docview/90135027/,25067,single_focus,Poetry,poetry
389,136477222,282,74,18960229,LIBRARY TABLE.,9,282,http://search.proquest.com/docview/136477222/,24721,single_focus,Nonfiction - science,nonfiction
391,124905252,254,,18871119,"""The Life of Longfellow.""",203,254,http://search.proquest.com/docview/124905252/,24241,single_focus,Nonfiction - biographical,nonfiction
397,137579350,158,XV,19000301,Review 18 -- No Title,1,158,http://search.proquest.com/docview/137579350/,41163,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
400,90128085,389,25,18941117,AN ACTRESS IN THE FAR EAST.,23,,http://search.proquest.com/docview/90128085/,25067,single_focus,Nonfiction - autobiographical,nonfiction
401,89699729,513,,19241201,DELIGHT AND TEARS,,513,http://search.proquest.com/docview/89699729/,25244,single_focus,Fiction - novel,fiction
404,136611293,383,84,19061013,The Book of Psalms,7,383,http://search.proquest.com/docview/136611293/,35617,single_focus,Nonfiction - religious,nonfiction
405,125290002,12,69,18981020,Review 1 -- No Title,42,12,http://search.proquest.com/docview/125290002/,24208,single_focus,Nonfiction - academic/pseudo-academic,nonfiction
407,90186165,107,19,18880331,Fisher's Church History.,7,107,http://search.proquest.com/docview/90186165/,25067,single_focus,Nonfiction,nonfiction
408,136145177,502,33,19170501,Review 1 -- No Title,3,502,http://search.proquest.com/docview/136145177/,35593,single_focus,Nonfiction - religious,nonfiction
410,124759360,657,23,19060801,SEVEN ROMAN STATESMEN.,6,,http://search.proquest.com/docview/124759360/,24243,single_focus,Nonfiction - historical,nonfiction
412,124907497,317,13,18900628,"Langs ""Old Friends.""",339,317,http://search.proquest.com/docview/124907497/,24241,single_focus,Fiction - short story,fiction
414,126287557,212,27,18870301,WILLIAM HENRY CHANNING.,3,212,http://search.proquest.com/docview/126287557/,24798,single_focus,Nonfiction - biographical,nonfiction
419,124891940,347,17,18920625,Literature,540,347,http://search.proquest.com/docview/124891940/,24241,single_focus,Nonfiction - travel,nonfiction
420,90142272,364,18,18871029,THE HEART OF MERRIE ENGLAND.,22,364,http://search.proquest.com/docview/90142272/,25067,single_focus,Nonfiction - autobiographical,nonfiction
421,137411847,578,,19071001,Review 3 -- No Title,4,578,http://search.proquest.com/docview/137411847/,25258,single_focus,Nonfiction - religious,nonfiction
