,record_id,reviewed_book_publisher
58,127390820,S.C. Griggs & Co. 
59,89653017,Scribner's
60,136992742,New York Student Volunteer Movement for Foreign Missions
61,124747684,Harper and Brothers
62,125348650,nan
63,125272943,Funk & Wagnalls Company
64,124766315,The Century Company
65,136964116,The Macmillan Company
66,124178806,Macmillan
67,125715359,The Bowen-Merrill Company
68,137097377,Harper & Brothers
69,124450952,The Independent Publishing Co.
70,89671396,Scribner
71,124898408,Cassell Publishing Co.
72,90153449,Charles Scribner's Sons
73,90154588,A. C. Armstrong & Co.
74,90161546,"McClure, Philips & Co."
75,124732047,The Macmillan Co.
76,90546389,Henry Holt & Co.
77,125547097,Scribner & Welford
78,136971619,G.P. Putnam's Sons
79,124907408,Scribner & Welford
80,136872320,J.B. Lippincott Co.
81,90142613,Henry Holt & Co.
82,90537156,Charles Scribner's Sons
83,90164528,"Houghton, Mifflin & Co."
84,89662238,"Dodd, Mead & Co."
85,90528767,"McClure, Philips & Co."
86,89649785,D. Appleton & Co.
87,873897343,The McGraw Publishing Company
88,126400532,Harper & Brothers
89,90251773,Cambridge University Press
90,124900705,Macmillan & Co.
91,124764451,Harper & Bros.
92,124740955,Alfred A. Knopf
93,136025939,Funk & Wagnalls Company
94,124464443,C. H. Engle
95,90126262,Harper & Brothers
96,90136958,Harper & Brothers
97,90527657,Lea Brothers & Co.
98,90085409,Henry Holt & Co.
99,90630633,D. Appleton & Co.
100,89636788,Macmillan & Co.
101,136412237,Funk & Wagnalls
102,136413083,Charles Scribner's Sons
103,124904526,"Longmans, Green & Co."
104,90136515,D. Appleton & Co.
105,90097518,Scribner & Welford
106,136145477,Hodder & Stoughton
107,136887509,Young J. Pentland
108,90306296,Roberts Brothers
109,90133341,C. Schönhof
110,124754571,nan
111,124879331,D. Appleton & Co.
112,90187613,D. C. Heath & Co.
113,125730521,"Baker, Voorhis & Co."
114,90606790,G.P. Putnam's Sons
115,90579980,"McClure, Philips & Co."
116,124759540,nan
117,90542092,The Macmillan Co.
118,126315326,Hudson-Kimberly Co.
119,125249020,W.B. Saunders
120,137195890,Ticknor & Company
121,90944121,Fowlers & Wells
122,90048854,S. C. Griggs & Co.
123,125734890,Ernest Flammarion
124,137744808,Fowler & Wells Co.
125,136617842,The Macmillan Company
126,90621097,"Doubleday, Page & Co."
127,125236598,Oxford University Press
128,124707428,Libr. Pustet
129,91093327,The Christian Statesman Publishing Co.
130,136106028,American Tract Society
131,136619825,Eaton & Mains
132,90132097,Harper & Brothers
133,90569421,Houghton Mifflin Company
134,137449682,G.P. Putnam's Sons
135,90553805,D. Appleton & Co.
136,136492393,"Smith, Elder, & Co."
137,124463109,"Little, Brown & Company"
138,126443468,"Houghton, Mifflin & Co."
139,136113370,A. C. Armstrong and Son
140,126389415,Charles Scribner's Sons
141,127467154,A. C. Armstrong & Son
142,90126417,Harper & Brothers
143,124359262,nan
144,136142931,"Houghton, Mifflin & Co."
145,90313218,"Houghton, Mifflin & Co."
146,124896942,Cassell Pub. Co.
147,90739286,Putnam
148,89667045,Lippincott
149,89644579,The Macmillan Company
150,124764143,Edward Arnold
151,90635208,Marshall Jones Company
152,124764069,D. Appleton & Co.
153,136621698,Henry Holt & Co.
154,124345912,"Houghton, Mifflin & Co."
155,90440078,nan
156,136532533,J. B. Lippincott Co.
157,125727674,Ferdinand Hirt
158,124892989,G.P. Putnam's Sons
159,90078026,D. Appleton & Co.
160,90500700,The Macmillan Co.
161,89680665,Stokes
162,136750674,George H. Ellis
163,137173034,Fleming H. Revell
164,90121448,Macmillan & Co.
165,125248292,J. B. Lippincott Company
166,89686172,Macmillan
167,89689843,Doran
168,90838561,Funk & Wagnalls Co.
169,90173545,Harper & Brothers
170,125503432,A.S. Barnes & Co.
171,124980283,"Longmans, Green & Co."
172,89671107,"Houghton, Mifflin & Co."
173,90499007,Charles Scribner's Sons
174,90135027,Chiswick Press
175,136477222,William Wood & Company
176,124905252,Ticknor & Co.
177,137579350,Methuen & Co.
178,90128085,Charles Scribner's Sons
179,89699729,The Dial Press
180,136611293,Charles Scribner's Sons
181,125290002,Fleming H. Revell Company
182,90186165,Charles Scribner's Sons
183,136145177,The Methodist Book Concern
184,124759360,nan
185,124907497,"Longmans, Green & Co."
186,126287557,"Houghton, Mifflin & Co."
187,124891940,Macmillan & Co.
188,90142272,Porter & Coates
189,137411847,The Macmillan Co.
190,124488747,Macmillan & Co.
191,125502663,T. Y. Crowell & Co.
192,124777738,Charles Scribner's Sons
193,137412078,The Macmillan Company
194,89664298,The Macmillan Co.
195,136966375,"Houghton, Mifflin & Co."
196,124882811,J. B. Lippincott Co.
197,125242315,J. B. Lippincott Company
198,126338733,nan
199,90133998,Macmillan & Co.
200,126629712,N. W. Ayer & Son
201,137013746,Alfred A. Knopf
202,89671364,Macmillan & Co.
203,136133837,Macmillan & Co.
204,135644793,Johann Ambrosius Barth
205,136578336,"Fords, Howard & Hulbert"
206,89644779,Callaghan & Co.
207,90502364,G.P. Putnam's Sons
208,89664902,D. Appleton & Co.
209,89649761,Macmillan & Co.
210,125208652,The McClure Tissot Co.
211,136764528,Charles Scribner's Sons
212,136883708,Henry C. Lea's Son & Co.
213,137653744,James R. Osgood & Co.
214,124760371,"Longmans, Green & Co."
215,89686151,John Lane Co.
216,89810450,Thomas Whittaker
217,90145468,A. C. Armstrong & Son
218,89639059,G.P. Putnam's Sons
219,125247266,The Macmillan Company
220,89633413,Robert Clark & Co.
221,89759190,Roberts Brothers
222,125252913,nan
223,89668021,McClurg
224,136685639,D. Appleton & Co.
225,126390206,nan
226,89659580,Putnam
227,90128412,Charles Scribner's Sons
228,136413923,Charles Scribner's Sons
229,89686487,nan
230,89646693,Houghton
231,136114077,R. H. Woodward Company
232,89659229,"Longmans, Green & Co."
233,124141679,Macmillan Co.
234,124335919,"Houghton, Mifflin & Co."
235,124354297,Congregational Sunday-School and Publishing Society
236,124362987,"Simpkin, Marshall & Co."
237,124451042,D. Appleton & Co.
238,124453505,Arena Publishing Company
239,124454073,The Macmillan Company
240,124463057,James H. West Company
241,124464853,Funk & Wagnalls Company
242,124466556,Herbert B. Turner & Co.
243,124466620,Eaton & Mains
244,124471315,nan
245,124471503,"Cassell, Petter, Galpin, & Co."
246,124480872,Charles Scribner's Sons
247,124496758,Harper & Brothers
248,124518738,Chanoine C. Douais
249,124699551,"James Duffy & Co., Ltd."
250,124699834,Benziger Bros.
251,124703086,The Macmillan Company
252,124708276,Benziger Brothers
253,124733894,Knopf
254,124737429,nan
255,124737516,Librairie Armand Colin
256,124747248,"Houghton, Mifflin & Co."
257,124747283,"Dodd, Mead and Company"
258,124748263,Duffield and Company
259,124748801,L. C. Page Co.
260,124749716,Charles Scribner's Sons
261,124749889,nan
262,124750342,D. Appleton and Company
263,124751008,"Doubleday, Page & Co."
264,124751689,nan
265,124755017,"McClure, Philips & Co."
266,124755037,nan
267,124755063,"Dodd, Mead and Company"
268,124755242,nan
269,124756269,nan
270,124757488,nan
271,124759955,"Dodd, Mead and Company"
272,124764347,J. B. Lippincott Co.
273,124770036,The University of Chicago Press
274,124777509,nan
275,124778880,A. D. F. Randolph & Co.
276,124793440,"Rand, McNally & Company"
277,124802485,The Outlook Co.
278,124879138,John Lane
279,124880240,D. Appleton & Co.
280,124880567,A. C. McClurg & Co.
281,124881664,Harper & Bros.
282,124882200,Gestefeld Pub. Co.
283,124882997,Revell
284,124883198,"Longmans, Green & Co."
285,124885364,The Century Co.
286,124889299,G.P. Putnam's Sons
287,124891380,D. Appleton & Co.
288,124891914,J. B. Lippincott Co.
289,124892048,Macmillan & Co.
290,124892460,Charles Scribner's Sons
291,124892575,G.P. Putnam's Sons
292,124894699,The Century Co.
293,124896373,Harper & Bros.
294,124902758,G. Schirmer
295,124903884,Oxford University Press
296,124903897,The Groller Club
297,124906219,Macmillan & Co.
298,124906359,G.P. Putnam's Sons
299,124910319,Lee & Shepard
300,124911338,G.P. Putnam's Sons
301,124913715,Macmillan
302,124913936,Appleton
303,125238042,William Wood & Company
304,125238876,W. B. Saunders Co.
305,125241543,W. B. Saunders Company
306,125243937,Lea Brothers & Co.
307,125245060,nan
308,125251441,J. B. Lippincott Company
309,125274806,The Macmillan Company
310,125285780,Fleming H. Revell Company
311,125290224,G.P. Putnam's Sons
312,125302755,G.P. Putnam's Sons
313,125327873,American Tract Society
314,125498506,Thomas Whittaker
315,125499337,John Lane
316,125503375,John Lane
317,125504219,"Longmans, Green & Co."
318,125523349,W. H. & O. H. Morrison
319,125524592,James R. Osgood & Co.
320,125529634,James R. Osgood & Co.
321,125705774,Oscar Lamberty
322,125714948,G.P. Putnam's Sons
323,125720170,The Lawyers' Co-Operative Publishing Company
324,125720301,Blackstone Publishing Co.
325,125722617,Lawyer's Co-operative Publishing Co.
326,125726448,Pacific Commercial Advertiser Company
327,125749308,Government Printing Office
328,125749576,E. P. Dutton and Company
329,125762745,Duncker and Humblot
330,126339953,nan
331,126357405,"Houghton, Mifflin & Company"
332,126357675,Universalist Publishing House
333,126360711,Lee & Shepard
334,126425076,"Houghton, Mifflin & Co."
335,126443123,"Houghton, Mifflin & Co."
336,126447331,Phillips & Hunt
337,126754584,George Wright
338,127406065,Harper & Bros.
339,127824487,Colegrove Book Co.
340,128386629,Ransome Concrete Machinery Co.
341,135792766,Geo. H. Ellis
342,136117615,The Winona Publishing Company
343,136129923,G.P. Putnam's Sons
344,136134978,Universalist Publishing House
345,136138836,Vandenhoeck and Ruprecht
346,136139685,Thomas Whittaker
347,136144286,Charles Scribner's Sons
348,136144491,Fleming H. Revell Company
349,136145363,The Macmillan Company
350,136279861,The H. M. Caldwell Company
351,136415311,D. Appleton & Co.
352,136416554,G.P. Putnam's Sons
353,136447217,G.P. Putnam's Sons
354,136458708,Scribner & Welford
355,136463035,"Houghton, Mifflin & Co."
356,136463900,nan
357,136466235,Charles Scribner's Sons
358,136470881,Phillips & Hunt
359,136470963,Macmillan Company
360,136480596,"Doubleday, Page & Co."
361,136509325,Lea Brothers & Co.
362,136511431,D. Appleton & Company
363,136513439,Philadelphia Medical Publishing Company
364,136523506,Lea Brothers & Co.
365,136531825,Lea Brothers & Co.
366,136533120,J. B. Lippincott
367,136562251,F. Tempsky
368,136570677,G.P. Putnam's Sons
369,136588150,T. Y. Crowell & Co.
370,136608189,D. Appleton & Co.
371,136609859,Thomas Nelson & Sons
372,136612423,G.P. Putnam's Sons
373,136614079,E. P. Dutton & Co.
374,136617378,G.P. Putnam's Sons
375,136623429,G.P. Putnam's Sons
376,136625622,"Moffat, Yard & Co."
377,136709332,Charles Scribner's Sons
378,136751702,Macmillan & Co.
379,136752909,"Dodd, Mead & Co."
380,136760304,J. C. B. Mohr
381,136846567,Henry C. Lea's Son & Co.
382,136863090,"Longmans, Green & Co."
383,136871263,Lea Brothers & Co.
384,136883779,William Brotherhead
385,136894051,Wm. Wood & Co.
386,136917170,nan
387,136918979,G. P. Putnam's Sons
388,136981322,G.P. Putnam's Sons
389,137004313,The J. B. Lippincott Company
390,137050115,Universalist Publishing House
391,137077283,American Economic Association
392,137107056,The Macmillan Company
393,137110441,Harper & Brothers
394,137200952,F. H. Revell Co.
395,137211244,nan
396,137391168,"Houghton, Mifflin & Co."
397,137394179,The Henry Altemus Company
398,137404867,Putnam & Sons
399,137412786,The Macmillan Company
400,137412843,G. E. Stechert & Co.
401,137448397,G. Barbèra
402,137484231,Arthur Rousseau
403,137485069,"McClure, Philips & Co."
404,137545522,Evang. Luth. Church Pub. Board
405,137573733,Doubleday & McClure Co.
406,137582298,Callaghan & Company
407,137588340,G.P. Putnam's Sons
408,137636080,Michigan Political Science Association
409,137693820,Funk & Wagnalls
410,137905361,E. B. Treat & Co.
411,760121714,nan
412,88403304,The Macmillan Co.
413,88407598,Lothrop Publishing Company
414,88435825,H. C. Lea's Son & Co.
415,886556758,Stokes
416,89641222,Harper & Brothers
417,89641746,Scribners
418,89642340,"Houghton, Mifflin & Co."
419,89642709,G.P. Putnam's Sons
420,89646113,Charles Scribner's Sons
421,89655249,Harper
422,89655696,"Dodd, Mead & Co."
423,89656875,The Open Court Publishing Co.
424,89656889,The Macmillan Co.
425,89664003,McClurg
426,89664845,G.P. Putnam's Sons
427,89668294,D. Appleton & Co.
428,89669022,Wessels & Bissell Co.
429,89669855,The Baker & Taylor Co.
430,89670781,The Macmillan Co.
431,89671870,The Century Co.
432,89672139,McClurg & Co.
433,89672164,"Dodd, Mead & Co."
434,89678203,Oxford University Press
435,89678544,Holt
436,89679735,Dutton
437,89680750,A. J. Holman & Co.
438,89683500,"Little, Brown"
439,89687165,Bobbs-Merrill
440,89762776,Roberts Brothers
441,89806553,Warren F. Draper
442,89808366,Macmillan & Co.
443,89809419,"Houghton, Mifflin & Co."
444,89812878,Cassel & Co.
445,90010449,Henry Holt & Co.
446,90039035,Harper & Brothers
447,90053551,Gebr. Paetel
448,90067735,"Houghton, Mifflin & Co."
449,90069853,D. Appleton & Co.
450,90070725,D. Appleton & Co.
451,90073662,Macmillan & Co.
452,90082618,Scribner & Welford
453,90082664,"Dodd, Mead & Co."
454,90088137,Harper & Brothers
455,90103625,J. R. Osgood & Co.
456,90105510,"Houghton, Mifflin & Co."
457,90115938,"Little, Brown & Co."
458,90117442,Harper & Brothers
459,90119457,Harper & Brothers
460,90124345,"Houghton, Mifflin & Co."
461,90127265,D. Appleton & Co.
462,90129938,D. Appleton & Co.
463,90135301,James R. Osgood & Co.
464,90135380,"Houghton, Mifflin & Co."
465,90135612,Macmillan & Co.
466,90137175,"Houghton, Mifflin & Co."
467,90146669,Worthington Co.
468,90146921,R. Grant & Son
469,90148591,Macmillan & Co.
470,90150121,The Century Co.
471,90156577,Charles Scribner's Sons
472,90161634,Oxford University Press
473,90167733,D. Appleton & Co.
474,90174040,T. Y. Crowell & Co.
475,90175002,"Fox, Duffield & Co."
476,90176684,Hodder and Stoughton
477,90197489,A. C. McClurg & Co.
478,90260196,Grant Richards
479,90330305,Scribner & Welford
480,90332829,Fowler & Wells
481,90352866,Macmillan & Co.
482,90364802,nan
483,90367488,nan
484,90373997,F. Warne & Co.
485,90393221,Harper & Brothers
486,90426602,Harper & Brothers
487,90445484,Charles Scribner's Sons
488,90473703,"Longmans, Green & Co."
489,90491457,"Longmans, Green & Co."
490,90502737,Charles Scribner's Sons
491,90510855,Ginn & Company
492,90517789,"Dodd, Mead & Co."
493,90527148,Appleton & Co.
494,90539385,James MacLehose & Sons
495,90555133,Chas. Scribner's Sons
496,90557538,The Century Co.
497,90561396,Trübner
498,90563266,G.P. Putnam's Sons
499,90565255,G.P. Putnam's Sons
500,90566851,The Macmillan Company
501,90574871,E. P. Dutton & Co.
502,90581659,Yehoash Publishing Society
503,90582034,The Macmillan Co.
504,90604485,Harper & Bros.
505,90611376,"Sherman, French & Co."
506,90612978,University of Chicago Press
507,90624400,Marshall Jones Company
508,90634096,G.P. Putnam's Sons
509,90769643,nan
510,90832258,Doran
511,90856638,"Houghton, Mifflin and Company"
512,91006924,nan
513,124729983,Houghton Mifflin Co
514,124730230,Houghton Mifflin
515,124730550,"Boni, Liveright"
516,124730800,The Bobbs-Merrill Co
517,124731223,Boni & Liveright
518,124731305,Scribner
519,124731702,Boni and Liveright
520,124731703,The Macmillan Co.
521,124731969,Grasset
522,124731981,Harper and Bros.
523,124732325,Houghton Mifflin
524,124732772,Marshall Jones Co
525,124732778,"Harcourt, Brace, and Co."
526,124733057,G. P. Putnam's Sons
527,124733077,Bobbs-Merrill
528,124733172,Harvard University Press
529,124733282,Bobbs-Merrill
530,124733326,nan
531,124733406,Charles Scribner's Sons
532,124733465,nan
533,124733500,nan
534,124733530,"Harcourt, Brace"
535,124733593,nan
536,124733601,F. A. Stokes Company
537,124733608,D. Appleton and Company
538,124733642,George Doran and Company
539,124733644,nan
540,124733682,Harper & Brothers
541,124733683,nan
542,124733700,Harper and Brothers
543,124733719,D. Appleton and Company
544,124733741,"Dodd, Mead and Company"
545,124733744,nan
546,124733751,nan
547,124733764,The Century Company
548,124733773,Marshall Jones Co
549,124733782,nan
550,124733801,G.P. Putnam's Sons
551,124733829,"Doubleday, Page & Co."
552,124733834,Macmillan
553,124733863,Houghton Mifflin Company
554,124733930,Stokes
555,124733948,"Dodd, Mead, and Company"
556,124733971,Houghton Mifflin Company
557,124733975,Scribner
558,124733983,J. W. Luce and Company
559,124905813,A. C. McClurg & Co.
560,124898696,"Longmans, Green & Co."
561,124751254,"Longmans, Green & Co."
562,124762352,Harper and Brothers
563,124891813,Robert Bros
564,124750036,Harper & Brothers
565,90148147,Thomas Y. Crowell & Co
566,89652586,D. Appleton & Co
567,124745977,nan
568,124739265,nan
569,124904338,Calmann Levy
570,124760289,nan
571,89694134,The Macmillan Company
572,90515626,Charles Scribner's Sons
573,90137315,D. Appleton & Co
574,90608987,McClure Co.
575,124897726,"Houghton, Mifflin & Co."
576,89661606,Harper & Brothers
577,124898008,Harper & Bros
578,124751461,The Morse Co.
579,124905803,James Pott & Co. 
580,90086111,"Longmans, Green & Co."
581,90073187,Funk & Wagnalls
582,89666176,Longmans
583,124735998,nan
584,90335806,D. Appleton & Co.
585,90184139,Thomas Y. Crowell & Co.
586,90528835,The Macmillan Company
587,90558759,"McClure, Phillips & Co."
588,89688816,Boni and Liveright
589,90456265,D. Appleton & Co
590,90105449,Funk & Wagnalls
591,90539958,The Baker & Taylor Co
592,124894643,D. Appleton & Co
593,124750909,nan
594,124740896,nan
595,124882999,Harper & Bros.
596,90585406,Henry Holt & Co.
597,89644413,"Houghton, Mifflin & Co."
598,124748533,Fleming H. Revell Company
599,124873327,The Century Co.
600,89694696,The Macmillan Company
601,90160523,The Century Company
602,89641952,Macmillan & Co.
603,89666727,Dutton
604,89641872,"Houghton, Mifflin & Co."
605,124897462,"Dodd, Mead & Co."
606,90148377,"Houghton, Mifflin & Co."
607,124878027,Harpers
608,124872541,Appleton
609,90123408,Harper & Brothers
610,90596896,Harper & Brothers
611,124907178,A. C. McClurg & Co.
612,124904242,"Dodd, Mead & Co."
613,124897346,"Houghton, Mifflin & Co."
614,90339355,Robert Clark & Co.
615,124906053,Macmillan & Co
616,89664166,Harper
617,124755005,Harper and Brothers
618,90144365,Scribner & Welford
619,124750050,nan
620,90638820,E. P. Dutton & Co.
621,124736621,"Doubleday, Page & Co."
622,124749139,"Houghton, Mifflin and Company"
623,90540450,The Macmillan Co.
624,124908238,George J. Coombes
625,124763895,Harper & Bros
626,89677297,Macmillan
627,90160891,Harper & Brothers
628,90137386,Swan Sonnenschein & Co
629,90181888,"Longmans, Green & Co."
630,90103211,nan
631,124751439,Charles Scribner's Sons
632,90355613,Appletons
633,124891067,Harper & Bros.
634,124890069,Macmillan & Co.
635,90120547,T. Y. Crowell & Co.
636,90142397,Roberts Brothers
637,89660493,"Houghton, Mifflin & Co."
638,90175555,"Houghton, Mifflin & Co."
639,124876337,Lippincott
640,90604818,E. P. Dutton & Co.
641,124901421,"Belford, Clarke & Co"
642,124742023,nan
643,124752209,Calmann-Lévy
644,90124503,"Houghton, Mifflin & Co."
645,90167842,Harper & Bros
646,89645979,McClurg
647,90115155,"Dodd, Mead & Co."
648,89659233,Longmans
649,124910164,"Dodd, Mead & Co."
650,124760648,"Longmans, Green & Co."
651,90422191,A. C. Armstrong & Son
652,124892624,"Longmans, Green & Co."
653,89678933,Putnam
654,89989565,Yale University Press
655,90165590,The Century Company
656,89683324,Harper
657,90133175,Charles Scribner's Sons
658,90505981,"Houghton, Mifflin & Co."
659,124890353,"Houghton, Mifflin, & Co."
660,89632965,"Houghton, Mifflin & Co."
661,124746128,Charles Scribner's Sons
662,90574713,The Baker & Taylor Co
663,124754677,Robert Bros
664,124744484,George H. Doran Company
665,90511584,Houghton Mifflin 
666,90199333,Charles Scribner's Sons
667,90608879,Dutton
668,90112735,London Trübner and Co.
669,124882971,nan
670,89663063,Macmillan
671,89642276,Charles Scribner's Sons
672,124751211,Mitchell Kennerley
673,89678271,Putnam
674,90146482,A.D.F. Randolph & Co
675,90140198,Macmillan & Co.
676,90151573,E. & J. B. Young & Co.
677,89654537,G. P. Putnam's Sons
678,89655051,Thomas Y. Crowell & Co.
679,89664154,The Macmillan Co.
680,90162568,Charles Scribner's Sons
681,90056191,G. P. Putnam's Sons
682,90442005,"Houghton, Mifflin & Co."
683,124910087,D. Appleton & Co
684,124755520,The Bowen-Merrill Company
685,90139487,E. P. Dutton & Co.
686,124752291,nan
687,90379598,Worthington
688,89639781,Charles Scribner's Sons
689,90114580,Harper & Brothers
690,89677757,George H. Doran Company
691,90155769,Macmillan & Co
692,124750525,nan
693,90157475,Harper & Bros
694,124762056,The Century Co.
695,90136560,Ticknor & Co
696,90371140,A. C. Armstrong & Son
697,124908173,Thos. Whittaker
698,124742694,Harper and Brothers
699,89673716,Houghton Mifflin Co.
700,90099976,"Houghton, Mifflin & Co."
701,90603231,B. F. Johnson Publishing Co.
702,90134956,"Houghton, Mifflin & Co."
703,124755999,Harper and Brothers
704,90115605,Charles Scribner's Sons
705,89673601,Henry Holt & Co.
706,90090195,George Routledge & Sons
707,90138917,Charles Scribner's Sons
708,124889122,D. Appleton & Co
709,90081303,Lothrop Publishing Co.
710,89637120,D. Appleton & Co
711,90155418,Charles Scribner's Sons
712,124899418,A. C. Armstrong & Son
713,90597110,G. P. Putnam's Sons
714,90148296,A. C. Armstrong & Co
715,124743941,nan
716,89673285,Dutton
717,89649251,nan
718,124743078,Harper and Brothers
719,89650728,The Macmillan Co.
720,90539715,G. P. Putnams Sons
721,90568501,"Doubleday, Page & Co."
722,90145983,E. & J. B. Young & Co.
723,124892513,Macmillan & Co
724,89636377,nan
725,89681827,Knopf
726,90123467,D. Appleton & Co
727,89638581,"Houghton, Mifflin & Co."
728,90012908,Macmillan Co.
729,89686189,Houghton Mifflin
730,124895326,G. P. Putnam's Sons
731,124914686,James R. Osgood & Co.
732,124884406,J. B. Lippincott & Co.
733,89682138,Scribner
734,89670618,The Macmillan Co.
735,90550796,John Lane Co.
736,89676253,Charles Scribner's Sons
737,124904428,Harper and Brothers
738,90590911,Charles Scribner's Sons
739,90430433,Henry Holt & Company
740,124737476,The Bobbs-Merrill Company
741,89676540,Appleton
742,90163058,Macmillan & Co.
743,124913731,Charles Scribner's Sons
744,124745996,"Little, Brown and Company"
745,124741430,Charles Scribner's Sons
746,124748017,Harper and Brothers
747,124759552,Charles Scribner's Sons
748,124757266,nan
749,90164064,"Dodd, Mead & Company"
750,90140590,James R. Osgood & Co.
751,89667287,Houghton Mifflin Co.
752,124755477,nan
753,89641010,Roberts Brothers
754,90520984,Charles H. Kerr & Co
755,124737521,nan
756,124907487,Fleming H Revell Co.
757,90386133,nan
758,90039134,nan
759,89683702,Holt
760,89674572,Harper & Brothers
761,124913983,Harper
762,89659276,Dutton
763,90564868,E. P. Dutton & Co.
764,124752973,nan
765,89640178,John E. Potter & Co.
766,124911435,Harper & Bros
767,124742206,E. P. Dutton and Co
768,90120206,Roberts Brothers
769,90136399,C
770,124738183,"Doubleday, Page & Co."
771,90179797,Macmillan & Co.
772,124902232,T. Whittaker
773,90604866,D. Appleton & Co
774,90133280,"Longmans, Green & Co."
775,124739187,nan
776,90137495,"Little, Brown & Co."
777,89643057,Longmans
778,124761958,"Marlier, Callanan & Co"
779,90292950,D. Appleton & Co
780,90323925,James R. Osgood & Co.
781,89663335,"Houghton, Mifflin & Co."
782,89671025,McClurg
783,89697959,Kegan Paul
784,90107235,G. P. Putnam's Sons
785,89667792,Macmillan
786,89671243,Lane
787,90598714,G. H. Doran Company
788,90068573,Carl Schuessler
789,89672878,The Macmillan Co.
790,90373136,Charles Scribner's Sons
791,124899809,Henry Holt & Co.
792,89673510,Scribner
793,124750562,nan
794,124914482,W. S. Gottsberger
795,90372895,Charles Scribner's Sons
796,124756142,T. Whittaker
797,124739526,J. B. Lippincott Company
798,89990815,Harpers
799,90139184,Charles Scribner's Sons
800,124895119,Harper & Brothers
801,124739868,Houghton Mifflin Co.
802,90590977,The Macmillan Co.
803,89639567,"Houghton, Mifflin & Co."
804,124746690,Houghton Mifflin & Co.
805,90362226,Charles Scribner's Sons
806,90580847,"Dodd, Mead & Co."
807,124913490,nan
808,90530908,"McClure, Phillips & Co."
809,124876576,"Houghton, Mifflin & Co."
810,90534596,"Longmans, Green & Co."
811,90575465,Charles Scribner's Sons
812,124761613,The Macmillan Co.
813,90573412,The C. M. Clark Publishing Company
814,90539956,"Doubleday, Page & Co."
815,89998501,Charles Scribner's Sons
816,90129690,"Houghton, Mifflin & Co."
817,89667624,The Macmillan Co.
818,90060122,"Houghton, Mifflin & Co."
819,90116399,"Houghton, Mifflin & Co."
820,124752167,"Houghton, Mifflin & Co."
821,90139762,J. B. Lippincott & Co.
822,124745923,nan
823,89642616,Macmillan
824,89678534,Harper
825,124902340,D. Appleton & Co
826,124741603,nan
827,90137217,Macmillan & Co
828,124897217,Charles Scribner's Sons
829,90120238,D. Lothrop & Co.
830,90399240,nan
831,90633573,The Baker & Taylor Company
832,90131919,J. R. Osgood & Co
833,89673264,Macmillan
834,90560925,Fleming H. Revell Co
835,124742132,nan
836,89674825,Harvard University Press
837,89679147,John Lane Co.
838,124909516,J. B. Lippincott Co.
839,90157990,Ticknor & Co.
840,90493577,G. P. Putnam's Sons
841,90160472,The Century Co.
842,89682838,Macmillan
843,90422744,nan
844,89634846,A. C. Armstrong & Son
845,90194791,D. Appleton & Co
846,124749101,nan
847,90556967,Neale Publishing Co.
848,89650747,The Macmillan Co.
849,90568424,George W. Jacobs & Co
850,90632525,"Little, Brown & Co."
851,124740057,Houghton Mifflin
852,124910760,A. C. Armstrong & Son
853,124904121,Macmillan & Co
854,124750513,nan
855,90619218,Mitchell Kennerley
856,90547989,"Moffatt, Yard & Co."
857,90097003,Roberts Brothers
